Date	Segment	Country	Product	Discount Band	Units Sold	Manufacturing Price	Sale Price	Gross Sales	Discount Price	Net Sales	COGS	Profit	Discount Number	Discount %
43191	Small Business	France	Montana	High	1186	250	300	355800	42696	313104	296500	16604	0.12	0.12
43192	Small Business	United States of America	Paseo	High	3495	250	300	1048500	125820	922680	873750	48930	0.12	0.12
43193	Government	Mexico	Paseo	High	886	260	350	310100	37212	272888	230360	42528	0.12	0.12
43194	Enterprise	Mexico	Paseo	High	2156	120	125	269500	32340	237160	258720	-21560	0.12	0.12
43195	Government	Mexico	Paseo	High	905	10	20	18100	2172	15928	9050	6878	0.12	0.12
43196	Government	Mexico	Paseo	High	1715	10	20	34300	4116	30184	17150	13034	0.12	0.12
43197	Government	France	Paseo	High	1594	260	350	557900	66948	490952	414440	76512	0.12	0.12
43198	Small Business	Germany	Paseo	High	1359	250	300	407700	48924	358776	339750	19026	0.12	0.12
43199	Small Business	Mexico	Paseo	High	2150	250	300	645000	77400	567600	537500	30100	0.12	0.12
43200	Government	Mexico	Paseo	High	1197	260	350	418950	50274	368676	311220	57456	0.12	0.12
43201	Midmarket	Mexico	Paseo	High	380	10	15	5700	684	5016	3800	1216	0.12	0.12
43202	Government	Mexico	Paseo	High	1233	10	20	24660	2959.2	21700.8	12330	9370.8	0.12	0.12
43203	Government	Mexico	Velo	High	1395	260	350	488250	58590	429660	362700	66960	0.12	0.12
43204	Government	United States of America	Velo	High	986	260	350	345100	41412	303688	256360	47328	0.12	0.12
43205	Government	Mexico	Velo	High	905	10	20	18100	2172	15928	9050	6878	0.12	0.12
43206	Channel Partners	Canada	VTT	High	2109	3	12	25308	3036.96	22271.04	6327	15944.04	0.12	0.12
43207	Midmarket	France	VTT	High	3874.5	10	15	58117.5	6974.1	51143.4	38745	12398.4	0.12	0.12
43208	Government	Canada	VTT	High	623	260	350	218050	26166	191884	161980	29904	0.12	0.12
43209	Government	United States of America	VTT	High	986	260	350	345100	41412	303688	256360	47328	0.12	0.12
43210	Enterprise	United States of America	VTT	High	2387	120	125	298375	35805	262570	286440	-23870	0.12	0.12
43211	Government	Mexico	VTT	High	1233	10	20	24660	2959.2	21700.8	12330	9370.8	0.12	0.12
43212	Government	United States of America	Amarilla	High	270	260	350	94500	11340	83160	70200	12960	0.12	0.12
43213	Government	France	Amarilla	High	3421.5	5	7	23950.5	2874.06	21076.44	17107.5	3968.94	0.12	0.12
43214	Government	Canada	Amarilla	High	2734	5	7	19138	2296.56	16841.44	13670	3171.44	0.12	0.12
43215	Midmarket	United States of America	Amarilla	High	2548	10	15	38220	4586.4	33633.6	25480	8153.6	0.12	0.12
43216	Government	France	Carretera	High	2521.5	10	20	50430	6051.6	44378.4	25215	19163.4	0.12	0.12
43217	Channel Partners	Mexico	Montana	High	2661	3	12	31932	3831.84	28100.16	7983	20117.16	0.12	0.12
43218	Government	Germany	Paseo	High	1531	10	20	30620	3674.4	26945.6	15310	11635.6	0.12	0.12
43219	Government	France	VTT	High	1491	5	7	10437	1252.44	9184.56	7455	1729.56	0.12	0.12
43220	Government	Germany	VTT	High	1531	10	20	30620	3674.4	26945.6	15310	11635.6	0.12	0.12
43221	Channel Partners	Canada	Amarilla	High	2761	3	12	33132	3975.84	29156.16	8283	20873.16	0.12	0.12
43222	Midmarket	United States of America	Carretera	High	2567	10	15	38505	5005.65	33499.35	25670	7829.35	0.13	0.13
43223	Midmarket	United States of America	VTT	High	2567	10	15	38505	5005.65	33499.35	25670	7829.35	0.13	0.13
43224	Government	Canada	Carretera	High	923	260	350	323050	41996.5	281053.5	239980	41073.5	0.13	0.13
43225	Government	France	Carretera	High	1790	260	350	626500	81445	545055	465400	79655	0.13	0.13
43226	Government	Germany	Carretera	High	442	10	20	8840	1149.2	7690.8	4420	3270.8	0.13	0.13
43227	Government	United States of America	Montana	High	982.5	260	350	343875	44703.75	299171.25	255450	43721.25	0.13	0.13
43228	Government	United States of America	Montana	High	1298	5	7	9086	1181.18	7904.82	6490	1414.82	0.13	0.13
43229	Channel Partners	Mexico	Montana	High	604	3	12	7248	942.24	6305.76	1812	4493.76	0.13	0.13
43230	Government	Mexico	Montana	High	2255	10	20	45100	5863	39237	22550	16687	0.13	0.13
43231	Government	Canada	Montana	High	1249	10	20	24980	3247.4	21732.6	12490	9242.6	0.13	0.13
43232	Government	United States of America	Paseo	High	1438.5	5	7	10069.5	1309.035	8760.465	7192.5	1567.965	0.13	0.13
43233	Small Business	Germany	Paseo	High	807	250	300	242100	31473	210627	201750	8877	0.13	0.13
43234	Government	United States of America	Paseo	High	2641	10	20	52820	6866.6	45953.4	26410	19543.4	0.13	0.13
43235	Government	Germany	Paseo	High	2708	10	20	54160	7040.8	47119.2	27080	20039.2	0.13	0.13
43236	Government	Canada	Paseo	High	2632	260	350	921200	119756	801444	684320	117124	0.13	0.13
43237	Enterprise	Canada	Paseo	High	1583	120	125	197875	25723.75	172151.25	189960	-17808.75	0.13	0.13
43238	Channel Partners	Mexico	Paseo	High	571	3	12	6852	890.76	5961.24	1713	4248.24	0.13	0.13
43239	Government	France	Paseo	High	2696	5	7	18872	2453.36	16418.64	13480	2938.64	0.13	0.13
43240	Midmarket	Canada	Paseo	High	1565	10	15	23475	3051.75	20423.25	15650	4773.25	0.13	0.13
43241	Government	Canada	Paseo	High	1249	10	20	24980	3247.4	21732.6	12490	9242.6	0.13	0.13
43242	Government	Germany	Paseo	High	357	260	350	124950	16243.5	108706.5	92820	15886.5	0.13	0.13
43243	Channel Partners	Germany	Paseo	High	1013	3	12	12156	1580.28	10575.72	3039	7536.72	0.13	0.13
43244	Midmarket	France	Velo	High	3997.5	10	15	59962.5	7795.125	52167.375	39975	12192.375	0.13	0.13
43245	Government	Canada	Velo	High	2632	260	350	921200	119756	801444	684320	117124	0.13	0.13
43246	Government	France	Velo	High	1190	5	7	8330	1082.9	7247.1	5950	1297.1	0.13	0.13
43247	Channel Partners	Mexico	Velo	High	604	3	12	7248	942.24	6305.76	1812	4493.76	0.13	0.13
43248	Midmarket	Germany	Velo	High	660	10	15	9900	1287	8613	6600	2013	0.13	0.13
43249	Channel Partners	Mexico	Velo	High	410	3	12	4920	639.6	4280.4	1230	3050.4	0.13	0.13
43250	Small Business	Mexico	Velo	High	2605	250	300	781500	101595	679905	651250	28655	0.13	0.13
43251	Channel Partners	Germany	Velo	High	1013	3	12	12156	1580.28	10575.72	3039	7536.72	0.13	0.13
43252	Enterprise	Canada	VTT	High	1583	120	125	197875	25723.75	172151.25	189960	-17808.75	0.13	0.13
43253	Midmarket	Canada	VTT	High	1565	10	15	23475	3051.75	20423.25	15650	4773.25	0.13	0.13
43254	Enterprise	Canada	Amarilla	High	1659	120	125	207375	26958.75	180416.25	199080	-18663.75	0.13	0.13
43255	Government	France	Amarilla	High	1190	5	7	8330	1082.9	7247.1	5950	1297.1	0.13	0.13
43256	Channel Partners	Mexico	Amarilla	High	410	3	12	4920	639.6	4280.4	1230	3050.4	0.13	0.13
43257	Channel Partners	Germany	Amarilla	High	1770	3	12	21240	2761.2	18478.8	5310	13168.8	0.13	0.13
43258	Government	Mexico	Carretera	High	2579	10	20	51580	7221.2	44358.8	25790	18568.8	0.14	0.14
43259	Government	United States of America	Carretera	High	1743	10	20	34860	4880.4	29979.6	17430	12549.6	0.14	0.14
43260	Government	United States of America	Carretera	High	2996	5	7	20972	2936.08	18035.92	14980	3055.92	0.14	0.14
43261	Government	Germany	Carretera	High	280	5	7	1960	274.4	1685.6	1400	285.6	0.14	0.14
43262	Government	France	Montana	High	293	5	7	2051	287.14	1763.86	1465	298.86	0.14	0.14
43263	Government	United States of America	Montana	High	2996	5	7	20972	2936.08	18035.92	14980	3055.92	0.14	0.14
43264	Midmarket	Germany	Paseo	High	278	10	15	4170	583.8	3586.2	2780	806.2	0.14	0.14
43265	Government	Canada	Paseo	High	2428	10	20	48560	6798.4	41761.6	24280	17481.6	0.14	0.14
43266	Midmarket	United States of America	Paseo	High	1767	10	15	26505	3710.7	22794.3	17670	5124.3	0.14	0.14
43267	Channel Partners	France	Paseo	High	1393	3	12	16716	2340.24	14375.76	4179	10196.76	0.14	0.14
43268	Government	Germany	VTT	High	280	5	7	1960	274.4	1685.6	1400	285.6	0.14	0.14
43269	Channel Partners	France	Amarilla	High	1393	3	12	16716	2340.24	14375.76	4179	10196.76	0.14	0.14
43270	Channel Partners	United States of America	Amarilla	High	2015	3	12	24180	3385.2	20794.8	6045	14749.8	0.14	0.14
43271	Small Business	Mexico	Carretera	High	801	250	300	240300	33642	206658	200250	6408	0.14	0.14
43272	Enterprise	France	Carretera	High	1023	120	125	127875	17902.5	109972.5	122760	-12787.5	0.14	0.14
43273	Small Business	Canada	Carretera	High	1496	250	300	448800	62832	385968	374000	11968	0.14	0.14
43274	Small Business	United States of America	Carretera	High	1010	250	300	303000	42420	260580	252500	8080	0.14	0.14
43275	Midmarket	Germany	Carretera	High	1513	10	15	22695	3177.3	19517.7	15130	4387.7	0.14	0.14
43276	Midmarket	Canada	Carretera	High	2300	10	15	34500	4830	29670	23000	6670	0.14	0.14
43277	Enterprise	Mexico	Carretera	High	2821	120	125	352625	49367.5	303257.5	338520	-35262.5	0.14	0.14
43278	Government	Canada	Montana	High	2227.5	260	350	779625	109147.5	670477.5	579150	91327.5	0.14	0.14
43279	Government	Germany	Montana	High	1199	260	350	419650	58751	360899	311740	49159	0.14	0.14
43280	Government	Canada	Montana	High	200	260	350	70000	9800	60200	52000	8200	0.14	0.14
43281	Government	Canada	Montana	High	388	5	7	2716	380.24	2335.76	1940	395.76	0.14	0.14
43282	Government	Mexico	Montana	High	1727	5	7	12089	1692.46	10396.54	8635	1761.54	0.14	0.14
43283	Midmarket	Canada	Montana	High	2300	10	15	34500	4830	29670	23000	6670	0.14	0.14
43284	Government	Mexico	Paseo	High	260	10	20	5200	728	4472	2600	1872	0.14	0.14
43285	Midmarket	Canada	Paseo	High	2470	10	15	37050	5187	31863	24700	7163	0.14	0.14
43286	Midmarket	Canada	Paseo	High	1743	10	15	26145	3660.3	22484.7	17430	5054.7	0.14	0.14
43287	Channel Partners	United States of America	Paseo	High	2914	3	12	34968	4895.52	30072.48	8742	21330.48	0.14	0.14
43288	Government	France	Paseo	High	1731	5	7	12117	1696.38	10420.62	8655	1765.62	0.14	0.14
43289	Government	Canada	Paseo	High	700	260	350	245000	34300	210700	182000	28700	0.14	0.14
43290	Channel Partners	Canada	Paseo	High	2222	3	12	26664	3732.96	22931.04	6666	16265.04	0.14	0.14
43291	Government	United States of America	Paseo	High	1177	260	350	411950	57673	354277	306020	48257	0.14	0.14
43292	Government	France	Paseo	High	1922	260	350	672700	94178	578522	499720	78802	0.14	0.14
43293	Enterprise	Mexico	Velo	High	1575	120	125	196875	27562.5	169312.5	189000	-19687.5	0.14	0.14
43294	Government	United States of America	Velo	High	606	10	20	12120	1696.8	10423.2	6060	4363.2	0.14	0.14
43295	Small Business	United States of America	Velo	High	2460	250	300	738000	103320	634680	615000	19680	0.14	0.14
43296	Small Business	Canada	Velo	High	269	250	300	80700	11298	69402	67250	2152	0.14	0.14
43297	Small Business	Germany	Velo	High	2536	250	300	760800	106512	654288	634000	20288	0.14	0.14
43298	Government	Mexico	VTT	High	2903	5	7	20321	2844.94	17476.06	14515	2961.06	0.14	0.14
43299	Small Business	United States of America	VTT	High	2541	250	300	762300	106722	655578	635250	20328	0.14	0.14
43300	Small Business	Canada	VTT	High	269	250	300	80700	11298	69402	67250	2152	0.14	0.14
43301	Small Business	Canada	VTT	High	1496	250	300	448800	62832	385968	374000	11968	0.14	0.14
43302	Small Business	United States of America	VTT	High	1010	250	300	303000	42420	260580	252500	8080	0.14	0.14
43303	Government	France	VTT	High	1281	260	350	448350	62769	385581	333060	52521	0.14	0.14
43304	Small Business	Canada	Amarilla	High	888	250	300	266400	37296	229104	222000	7104	0.14	0.14
43305	Enterprise	United States of America	Amarilla	High	2844	120	125	355500	49770	305730	341280	-35550	0.14	0.14
43306	Channel Partners	France	Amarilla	High	2475	3	12	29700	4158	25542	7425	18117	0.14	0.14
43307	Midmarket	Canada	Amarilla	High	1743	10	15	26145	3660.3	22484.7	17430	5054.7	0.14	0.14
43308	Channel Partners	United States of America	Amarilla	High	2914	3	12	34968	4895.52	30072.48	8742	21330.48	0.14	0.14
43309	Government	France	Amarilla	High	1731	5	7	12117	1696.38	10420.62	8655	1765.62	0.14	0.14
43310	Government	Mexico	Amarilla	High	1727	5	7	12089	1692.46	10396.54	8635	1761.54	0.14	0.14
43311	Midmarket	Mexico	Amarilla	High	1870	10	15	28050	3927	24123	18700	5423	0.14	0.14
43312	Enterprise	France	Carretera	High	1174	120	125	146750	22012.5	124737.5	140880	-16142.5	0.15	0.15
43313	Enterprise	Germany	Carretera	High	2767	120	125	345875	51881.25	293993.75	332040	-38046.25	0.15	0.15
43314	Enterprise	Germany	Carretera	High	1085	120	125	135625	20343.75	115281.25	130200	-14918.75	0.15	0.15
43315	Small Business	Mexico	Montana	High	546	250	300	163800	24570	139230	136500	2730	0.15	0.15
43316	Government	Germany	Paseo	High	1158	10	20	23160	3474	19686	11580	8106	0.15	0.15
43317	Midmarket	Canada	Paseo	High	1614	10	15	24210	3631.5	20578.5	16140	4438.5	0.15	0.15
43318	Government	Mexico	Paseo	High	2535	5	7	17745	2661.75	15083.25	12675	2408.25	0.15	0.15
43319	Government	Mexico	Paseo	High	2851	260	350	997850	149677.5	848172.5	741260	106912.5	0.15	0.15
43320	Midmarket	Canada	Paseo	High	2559	10	15	38385	5757.75	32627.25	25590	7037.25	0.15	0.15
43321	Government	United States of America	Paseo	High	267	10	20	5340	801	4539	2670	1869	0.15	0.15
43322	Enterprise	Germany	Paseo	High	1085	120	125	135625	20343.75	115281.25	130200	-14918.75	0.15	0.15
43323	Midmarket	Germany	Paseo	High	1175	10	15	17625	2643.75	14981.25	11750	3231.25	0.15	0.15
43324	Government	United States of America	Paseo	High	2007	260	350	702450	105367.5	597082.5	521820	75262.5	0.15	0.15
43325	Government	Mexico	Paseo	High	2151	260	350	752850	112927.5	639922.5	559260	80662.5	0.15	0.15
43326	Channel Partners	United States of America	Paseo	High	914	3	12	10968	1645.2	9322.8	2742	6580.8	0.15	0.15
43327	Government	France	Paseo	High	293	10	20	5860	879	4981	2930	2051	0.15	0.15
43328	Channel Partners	Mexico	Velo	High	500	3	12	6000	900	5100	1500	3600	0.15	0.15
43329	Midmarket	France	Velo	High	2826	10	15	42390	6358.5	36031.5	28260	7771.5	0.15	0.15
43330	Enterprise	France	Velo	High	663	120	125	82875	12431.25	70443.75	79560	-9116.25	0.15	0.15
43331	Small Business	United States of America	Velo	High	2574	250	300	772200	115830	656370	643500	12870	0.15	0.15
43332	Enterprise	United States of America	Velo	High	2438	120	125	304750	45712.5	259037.5	292560	-33522.5	0.15	0.15
43333	Channel Partners	United States of America	Velo	High	914	3	12	10968	1645.2	9322.8	2742	6580.8	0.15	0.15
43334	Government	Canada	VTT	High	865.5	10	20	17310	2596.5	14713.5	8655	6058.5	0.15	0.15
43335	Midmarket	Germany	VTT	High	492	10	15	7380	1107	6273	4920	1353	0.15	0.15
43336	Government	United States of America	VTT	High	267	10	20	5340	801	4539	2670	1869	0.15	0.15
43337	Midmarket	Germany	VTT	High	1175	10	15	17625	2643.75	14981.25	11750	3231.25	0.15	0.15
43338	Enterprise	Canada	VTT	High	2954	120	125	369250	55387.5	313862.5	354480	-40617.5	0.15	0.15
43339	Enterprise	Germany	VTT	High	552	120	125	69000	10350	58650	66240	-7590	0.15	0.15
43340	Government	France	VTT	High	293	10	20	5860	879	4981	2930	2051	0.15	0.15
43341	Small Business	France	Amarilla	High	2475	250	300	742500	111375	631125	618750	12375	0.15	0.15
43342	Small Business	Mexico	Amarilla	High	546	250	300	163800	24570	139230	136500	2730	0.15	0.15
43343	Government	Mexico	Montana	High	1368	5	7	9576	1436.4	8139.6	6840	1299.6	0.15	0.15
43344	Government	Canada	Paseo	High	723	5	7	5061	759.15	4301.85	3615	686.85	0.15	0.15
43345	Channel Partners	United States of America	VTT	High	1806	3	12	21672	3250.8	18421.2	5418	13003.2	0.15	0.15
43346	Government	France	Amarilla	High	1393	3	12	16716	2005.92	14710.08	4179	10531.08	0.12	0.12
43347	Channel Partners	France	Carretera	High	1496	250	300	448800	53856	394944	374000	20944	0.12	0.12
43348	Channel Partners	France	Carretera	High	1010	250	300	303000	36360	266640	252500	14140	0.12	0.12
43349	Small Business	Mexico	Paseo	High	2914	3	12	34968	4196.16	30771.84	8742	22029.84	0.12	0.12
43350	Small Business	Mexico	Paseo	High	1731	5	7	12117	1454.04	10662.96	8655	2007.96	0.12	0.12
43351	Government	Mexico	VTT	High	1496	250	300	448800	53856	394944	374000	20944	0.12	0.12
43352	Midmarket	Mexico	VTT	High	1010	250	300	303000	36360	266640	252500	14140	0.12	0.12
43353	Small Business	Germany	Amarilla	High	2914	3	12	34968	4196.16	30771.84	8742	22029.84	0.12	0.12
43354	Midmarket	Germany	Amarilla	High	1731	5	7	12117	1454.04	10662.96	8655	2007.96	0.12	0.12
43355	Midmarket	Germany	Carretera	High	1085	120	125	135625	16275	119350	130200	-10850	0.12	0.12
43356	Small Business	Germany	Montana	High	546	250	300	163800	19656	144144	136500	7644	0.12	0.12
43357	Midmarket	Germany	Paseo	High	1085	120	125	135625	16275	119350	130200	-10850	0.12	0.12
43358	Midmarket	Germany	Paseo	High	1175	10	15	17625	2115	15510	11750	3760	0.12	0.12
43359	Small Business	Canada	VTT	High	1175	10	15	17625	2115	15510	11750	3760	0.12	0.12
43360	Channel Partners	Canada	VTT	High	986	260	350	345100	41412	303688	256360	47328	0.12	0.12
43361	Small Business	United States of America	Amarilla	High	2734	5	7	19138	2296.56	16841.44	13670	3171.44	0.12	0.12
43362	Channel Partners	France	Montana	High	1249	10	20	24980	2997.6	21982.4	12490	9492.4	0.12	0.12
43363	Small Business	United States of America	Paseo	High	1565	10	15	23475	2817	20658	15650	5008	0.12	0.12
43364	Channel Partners	Mexico	Paseo	High	1249	10	20	24980	2997.6	21982.4	12490	9492.4	0.12	0.12
43365	Small Business	Mexico	Velo	High	410	3	12	4920	590.4	4329.6	1230	3099.6	0.12	0.12
43366	Small Business	Mexico	VTT	High	1565	10	15	23475	2817	20658	15650	5008	0.12	0.12
